year,countycode,party,cand,votes,FIPS,,,,,,
2012,2,REP,ROMNEY,158,3,,,,,,
2012,2,REP,ROMNEY,198,3,,,,,,
2012,2,REP,ROMNEY,181,3,,,,,,
2012,2,REP,ROMNEY,241,3,,,,,,
2012,2,REP,ROMNEY,139,3,,,,,,
2012,2,REP,ROMNEY,106,3,,,,,,
2012,2,REP,ROMNEY,121,3,,,,,,
2012,2,REP,ROMNEY,118,3,,,,,,
2012,2,REP,ROMNEY,166,3,,,,,,
2012,2,REP,ROMNEY,164,3,,,,,,
2012,2,REP,ROMNEY,135,3,,,,,,
2012,2,REP,ROMNEY,71,3,,,,,,
2012,2,REP,ROMNEY,88,3,,,,,,
2012,2,REP,ROMNEY,33,3,,,,,,
2012,2,REP,ROMNEY,19,3,,,,,,
2012,2,REP,ROMNEY,26,3,,,,,,
2012,2,REP,ROMNEY,17,3,,,,,,
2012,2,REP,ROMNEY,42,3,,,,,,
2012,2,REP,ROMNEY,66,3,,,,,,
2012,2,REP,ROMNEY,12,3,,,,,,
2012,2,REP,ROMNEY,12,3,,,,,,
2012,2,REP,ROMNEY,77,3,,,,,,
2012,2,REP,ROMNEY,87,3,,,,,,
2012,2,REP,ROMNEY,198,3,,,,,,
2012,2,REP,ROMNEY,135,3,,,,,,
2012,2,REP,ROMNEY,122,3,,,,,,
2012,2,REP,ROMNEY,148,3,,,,,,
2012,2,REP,ROMNEY,42,3,,,,,,
2012,2,REP,ROMNEY,54,3,,,,,,
2012,2,REP,ROMNEY,51,3,,,,,,
2012,2,REP,ROMNEY,178,3,,,,,,
2012,2,REP,ROMNEY,209,3,,,,,,
2012,2,REP,ROMNEY,144,3,,,,,,
2012,2,REP,ROMNEY,303,3,,,,,,
2012,2,REP,ROMNEY,297,3,,,,,,
2012,2,REP,ROMNEY,263,3,,,,,,
2012,2,REP,ROMNEY,327,3,,,,,,
2012,2,REP,ROMNEY,581,3,,,,,,
2012,2,REP,ROMNEY,590,3,,,,,,
2012,2,REP,ROMNEY,303,3,,,,,,
2012,2,REP,ROMNEY,282,3,,,,,,
2012,2,REP,ROMNEY,183,3,,,,,,
2012,2,REP,ROMNEY,307,3,,,,,,
2012,2,REP,ROMNEY,229,3,,,,,,
2012,2,REP,ROMNEY,365,3,,,,,,
2012,2,REP,ROMNEY,79,3,,,,,,
2012,2,REP,ROMNEY,348,3,,,,,,
2012,2,REP,ROMNEY,255,3,,,,,,
2012,2,REP,ROMNEY,298,3,,,,,,
2012,2,REP,ROMNEY,209,3,,,,,,
2012,2,REP,ROMNEY,165,3,,,,,,
2012,2,REP,ROMNEY,219,3,,,,,,
2012,2,REP,ROMNEY,222,3,,,,,,
2012,2,REP,ROMNEY,419,3,,,,,,
2012,2,REP,ROMNEY,376,3,,,,,,
2012,2,REP,ROMNEY,588,3,,,,,,
2012,2,REP,ROMNEY,455,3,,,,,,
2012,2,REP,ROMNEY,174,3,,,,,,
2012,2,REP,ROMNEY,177,3,,,,,,
2012,2,REP,ROMNEY,213,3,,,,,,
2012,2,REP,ROMNEY,165,3,,,,,,
2012,2,REP,ROMNEY,223,3,,,,,,
2012,2,REP,ROMNEY,153,3,,,,,,
2012,2,REP,ROMNEY,170,3,,,,,,
2012,2,REP,ROMNEY,233,3,,,,,,
2012,2,REP,ROMNEY,163,3,,,,,,
2012,2,REP,ROMNEY,312,3,,,,,,
2012,2,REP,ROMNEY,133,3,,,,,,
2012,2,REP,ROMNEY,162,3,,,,,,
2012,2,REP,ROMNEY,324,3,,,,,,
2012,2,REP,ROMNEY,415,3,,,,,,
2012,2,REP,ROMNEY,350,3,,,,,,
2012,2,REP,ROMNEY,501,3,,,,,,
2012,2,REP,ROMNEY,435,3,,,,,,
2012,2,REP,ROMNEY,738,3,,,,,,
2012,2,REP,ROMNEY,674,3,,,,,,
2012,2,REP,ROMNEY,492,3,,,,,,
2012,2,REP,ROMNEY,1119,3,,,,,,
2012,2,REP,ROMNEY,507,3,,,,,,
2012,2,REP,ROMNEY,497,3,,,,,,
2012,2,REP,ROMNEY,404,3,,,,,,
2012,2,REP,ROMNEY,338,3,,,,,,
2012,2,REP,ROMNEY,321,3,,,,,,
2012,2,REP,ROMNEY,197,3,,,,,,
2012,2,REP,ROMNEY,88,3,,,,,,
2012,2,REP,ROMNEY,114,3,,,,,,
2012,2,REP,ROMNEY,77,3,,,,,,
2012,2,REP,ROMNEY,162,3,,,,,,
2012,2,REP,ROMNEY,109,3,,,,,,
2012,2,REP,ROMNEY,61,3,,,,,,
2012,2,REP,ROMNEY,297,3,,,,,,
2012,2,REP,ROMNEY,444,3,,,,,,
2012,2,REP,ROMNEY,335,3,,,,,,
2012,2,REP,ROMNEY,258,3,,,,,,
2012,2,REP,ROMNEY,569,3,,,,,,
2012,2,REP,ROMNEY,534,3,,,,,,
2012,2,REP,ROMNEY,629,3,,,,,,
2012,2,REP,ROMNEY,251,3,,,,,,
2012,2,REP,ROMNEY,301,3,,,,,,
2012,2,REP,ROMNEY,299,3,,,,,,
2012,2,REP,ROMNEY,635,3,,,,,,
2012,2,REP,ROMNEY,444,3,,,,,,
2012,2,REP,ROMNEY,559,3,,,,,,
2012,2,REP,ROMNEY,612,3,,,,,,
2012,2,REP,ROMNEY,764,3,,,,,,
2012,2,REP,ROMNEY,346,3,,,,,,
2012,2,REP,ROMNEY,342,3,,,,,,
2012,2,REP,ROMNEY,446,3,,,,,,
2012,2,REP,ROMNEY,223,3,,,,,,
2012,2,REP,ROMNEY,145,3,,,,,,
2012,2,REP,ROMNEY,122,3,,,,,,
2012,2,REP,ROMNEY,269,3,,,,,,
2012,2,REP,ROMNEY,225,3,,,,,,
2012,2,REP,ROMNEY,96,3,,,,,,
2012,2,REP,ROMNEY,133,3,,,,,,
2012,2,REP,ROMNEY,344,3,,,,,,
2012,2,REP,ROMNEY,253,3,,,,,,
2012,2,REP,ROMNEY,241,3,,,,,,
2012,2,REP,ROMNEY,207,3,,,,,,
2012,2,REP,ROMNEY,96,3,,,,,,
2012,2,REP,ROMNEY,293,3,,,,,,
2012,2,REP,ROMNEY,24,3,,,,,,
2012,2,REP,ROMNEY,233,3,,,,,,
2012,2,REP,ROMNEY,52,3,,,,,,
2012,2,REP,ROMNEY,9,3,,,,,,
2012,2,REP,ROMNEY,23,3,,,,,,
2012,2,REP,ROMNEY,7,3,,,,,,
2012,2,REP,ROMNEY,24,3,,,,,,
2012,2,REP,ROMNEY,14,3,,,,,,
2012,2,REP,ROMNEY,410,3,,,,,,
2012,2,REP,ROMNEY,423,3,,,,,,
2012,2,REP,ROMNEY,430,3,,,,,,
2012,2,REP,ROMNEY,459,3,,,,,,
2012,2,REP,ROMNEY,409,3,,,,,,
2012,2,REP,ROMNEY,210,3,,,,,,
2012,2,REP,ROMNEY,153,3,,,,,,
2012,2,REP,ROMNEY,277,3,,,,,,
